date,area,town,daily_cases,avg_cases,std_daily_cases,std_avg_cases
2020/12/10,North,Qiryat Shemona,2,4.428571429,8.943343916,19.80311867
2020/12/11,North,Qiryat Shemona,6,4.857142857,26.83003175,21.71954951
2020/12/12,North,Qiryat Shemona,2,4.857142857,8.943343916,21.71954951
2020/12/13,North,Qiryat Shemona,1,3.714285714,4.471671958,16.60906727
2020/12/14,North,Qiryat Shemona,6,3.714285714,26.83003175,16.60906727
2020/12/15,North,Qiryat Shemona,14,5.285714286,62.60340741,23.63598035
2020/12/16,North,Qiryat Shemona,9,5.714285714,40.24504762,25.55241119
2020/12/17,North,Qiryat Shemona,11,7,49.18839154,31.30170371
2020/12/18,North,Qiryat Shemona,2,6.428571429,8.943343916,28.74646259
2020/12/19,North,Qiryat Shemona,13,8,58.13173546,35.77337567
2020/12/20,North,Qiryat Shemona,3,8.285714286,13.41501587,37.05099623
2020/12/21,North,Qiryat Shemona,6,8.285714286,26.83003175,37.05099623
2020/12/22,North,Qiryat Shemona,21,9.285714286,93.90511112,41.52266818
2020/12/23,North,Qiryat Shemona,9,9.285714286,40.24504762,41.52266818
2020/12/24,North,Qiryat Shemona,4,8.285714286,17.88668783,37.05099623
2020/12/25,North,Qiryat Shemona,11,9.571428571,49.18839154,42.80028874
2020/12/26,North,Qiryat Shemona,14,9.714285714,62.60340741,43.43909902
2020/12/27,North,Qiryat Shemona,1,9.428571429,4.471671958,42.16147846
2020/12/28,North,Qiryat Shemona,10,10,44.71671958,44.71671958
2020/12/29,North,Qiryat Shemona,8,8.142857143,35.77337567,36.41218595
2020/12/30,North,Qiryat Shemona,12,8.571428571,53.6600635,38.32861678
2020/12/31,North,Qiryat Shemona,5,8.714285714,22.35835979,38.96742706
2021/1/1,North,Qiryat Shemona,6,8,26.86246418,35.81661891
2021/1/2,North,Qiryat Shemona,5,6.714285714,22.38538682,30.06037658
2021/1/3,North,Qiryat Shemona,3,7,13.43123209,31.33954155
2021/1/4,North,Qiryat Shemona,10,7,44.77077364,31.33954155
2021/1/5,North,Qiryat Shemona,17,8.285714286,76.11031519,37.09578387
2021/1/6,North,Qiryat Shemona,14,8.571428571,62.67908309,38.37494883
2021/1/7,North,Qiryat Shemona,14,9.857142857,62.67908309,44.13119116
2021/1/8,North,Qiryat Shemona,10,10.42857143,44.77077364,46.68952109
2021/1/9,North,Qiryat Shemona,7,10.71428571,31.33954155,47.96868602
2021/1/10,North,Qiryat Shemona,0,10.28571429,0,46.04993862
2021/1/11,North,Qiryat Shemona,12,10.57142857,53.72492837,47.32910355
2021/1/12,North,Qiryat Shemona,14,10.14285714,62.67908309,45.41035611
2021/1/13,North,Qiryat Shemona,11,9.714285714,49.247851,43.49160868
2021/1/14,North,Qiryat Shemona,10,9.142857143,44.77077364,40.93327876
2021/1/15,North,Qiryat Shemona,15,9.857142857,67.15616046,44.13119116
2021/1/16,North,Qiryat Shemona,4,9.428571429,17.90830946,42.21244372
2021/1/17,North,Qiryat Shemona,5,10.14285714,22.38538682,45.41035611
2021/1/18,North,Qiryat Shemona,17,10.85714286,76.11031519,48.60826854
2021/1/19,North,Qiryat Shemona,8,10,35.81661891,44.77077364
2021/1/20,North,Qiryat Shemona,10,9.857142857,44.77077364,44.13119116
2021/1/21,North,Qiryat Shemona,4,9,17.90830946,40.29369628
2021/1/22,North,Qiryat Shemona,1,7,4.477077364,31.33954155
2021/1/23,North,Qiryat Shemona,7,7.428571429,31.33954155,33.25828899
2021/1/24,North,Qiryat Shemona,1,6.857142857,4.477077364,30.69995907
2021/1/25,North,Qiryat Shemona,5,5.142857143,22.38538682,23.0249693
2021/1/26,North,Qiryat Shemona,15,6.142857143,67.15616046,27.50204666
2021/1/27,North,Qiryat Shemona,16,7,71.63323782,31.33954155
2021/1/28,North,Qiryat Shemona,6,7.285714286,26.86246418,32.61870651
2021/1/29,North,Qiryat Shemona,16,9.428571429,71.63323782,42.21244372
2021/1/30,North,Qiryat Shemona,5,9.142857143,22.38538682,40.93327876
2021/1/31,North,Qiryat Shemona,5,9.714285714,22.38538682,43.49160868
2021/2/1,North,Qiryat Shemona,13,10.85714286,58.20200573,48.60826854
2021/2/2,North,Qiryat Shemona,10,10.14285714,44.77077364,45.41035611
2021/2/3,North,Qiryat Shemona,22,11,98.49570201,49.247851
2021/2/4,North,Qiryat Shemona,7,11.14285714,31.33954155,49.88743347
2021/2/5,North,Qiryat Shemona,20,11.71428571,89.54154728,52.44576339
2021/2/6,North,Qiryat Shemona,17,13.42857143,76.11031519,60.12075318
2021/2/7,North,Qiryat Shemona,2,13,8.954154728,58.20200573
2021/2/8,North,Qiryat Shemona,34,16,152.2206304,71.63323782
2021/2/9,North,Qiryat Shemona,12,16.28571429,53.72492837,72.9124028
2021/2/10,North,Qiryat Shemona,13,15,58.20200573,67.15616046
2021/2/11,North,Qiryat Shemona,4,14.57142857,17.90830946,65.23741301
2021/2/12,North,Qiryat Shemona,4,12.28571429,17.90830946,55.00409335
2021/2/13,North,Qiryat Shemona,0,9.857142857,0,44.13119116
2021/2/14,North,Qiryat Shemona,5,10.28571429,22.38538682,46.04993862
2021/2/15,North,Qiryat Shemona,8,6.571428571,35.81661891,29.4207941
2021/2/16,North,Qiryat Shemona,8,6,35.81661891,26.86246418
2021/2/17,North,Qiryat Shemona,6,5,26.86246418,22.38538682
2021/2/18,North,Qiryat Shemona,2,4.714285714,8.954154728,21.10622186
2021/2/19,North,Qiryat Shemona,2,4.428571429,8.954154728,19.8270569
2021/2/20,North,Qiryat Shemona,3,4.857142857,13.43123209,21.74580434
2021/2/21,North,Qiryat Shemona,0,4.142857143,0,18.54789194
2021/2/22,North,Qiryat Shemona,3,3.428571429,13.43123209,15.34997954
2021/2/23,North,Qiryat Shemona,4,2.857142857,17.90830946,12.79164961
2021/2/24,North,Qiryat Shemona,3,2.428571429,13.43123209,10.87290217
2021/2/25,North,Qiryat Shemona,2,2.428571429,8.954154728,10.87290217
2021/2/26,North,Qiryat Shemona,2,2.428571429,8.954154728,10.87290217
2021/2/27,North,Qiryat Shemona,0,2,0,8.954154728
2021/2/28,North,Qiryat Shemona,3,2.428571429,13.43123209,10.87290217
2021/3/1,North,Qiryat Shemona,3,2.428571429,13.43123209,10.87290217
2021/3/2,North,Qiryat Shemona,2,2.142857143,8.954154728,9.593737209
2021/3/3,North,Qiryat Shemona,1,1.857142857,4.477077364,8.314572247
2021/3/4,North,Qiryat Shemona,0,1.571428571,0,7.035407284
2021/3/5,North,Qiryat Shemona,1,1.428571429,4.477077364,6.395824807
2021/3/6,North,Qiryat Shemona,1,1.571428571,4.477077364,7.035407284
2021/3/7,North,Qiryat Shemona,0,1.142857143,0,5.116659845
2021/3/8,North,Qiryat Shemona,2,1,8.954154728,4.477077364
2021/3/9,North,Qiryat Shemona,1,0.857142857,4.477077364,3.837494883
2021/3/10,North,Qiryat Shemona,1,0.857142857,4.477077364,3.837494883
2021/3/11,North,Qiryat Shemona,1,1,4.477077364,4.477077364
2021/3/12,North,Qiryat Shemona,0,0.857142857,0,3.837494883
2021/3/13,North,Qiryat Shemona,0,0.714285714,0,3.197912402
2021/3/14,North,Qiryat Shemona,0,0.714285714,0,3.197912402
2021/3/15,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/16,North,Qiryat Shemona,1,0.428571429,4.477077364,1.918747444
2021/3/17,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/3/18,North,Qiryat Shemona,2,0.428571429,8.954154728,1.918747444
2021/3/19,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/20,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/21,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/22,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/23,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/3/24,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/3/25,North,Qiryat Shemona,1,0.142857143,4.477077364,0.639582481
2021/3/26,North,Qiryat Shemona,2,0.428571429,8.954154728,1.918747444
2021/3/27,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/28,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/29,North,Qiryat Shemona,0,0.428571429,0,1.918747444
2021/3/30,North,Qiryat Shemona,1,0.571428571,4.477077364,2.55832992
2021/3/31,North,Qiryat Shemona,1,0.714285714,4.477077364,3.197912402
2021/4/1,North,Qiryat Shemona,0,0.571428571,0,2.55832992
2021/4/2,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/4/3,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/4/4,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/4/5,North,Qiryat Shemona,0,0.285714286,0,1.279164962
2021/4/6,North,Qiryat Shemona,0,0.142857143,0,0.639582481
2021/4/7,North,Qiryat Shemona,0,0,0,0
2021/4/8,North,Qiryat Shemona,0,0,0,0
2021/4/9,North,Qiryat Shemona,0,0,0,0
2021/4/10,North,Qiryat Shemona,0,0,0,0
2021/4/11,North,Qiryat Shemona,0,0,0,0
2021/4/12,North,Qiryat Shemona,0,0,0,0
